,amenity,name,religion,addr:street,crime,nearest police chowki,population density,rape,Kidnapping & Abduction_Total,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,district,longitude,latitude,target
0,1.0,1.0,1.0,0.0,0.31028240405503255,0.06639984873314006,0.0,0.325,0.2913085004775549,0.3563025210084034,0.3317972350230415,0.15789473684210525,0.28493150684931506,0.3275632490013316,0.37499999999999994,0.16666666666666666,75.0670769,18.0965752,1
1,1.0,1.0,1.0,0.0,0.725923244026068,0.5359573931677801,0.556446368980219,0.8357142857142857,0.6867239732569246,0.8302521008403362,0.5284178187403994,1.0,1.0,0.6604527296937417,0.949074074074074,1.0,75.0671979,18.0966805,1
2,0.8571428571428571,0.25,1.0,0.5,0.727009413468501,0.07270263456447751,0.556446368980219,0.95,0.6523400191021967,0.7882352941176471,0.522273425499232,0.5964912280701754,0.810958904109589,0.729693741677763,1.0,1.0,75.0255781,18.1118483,1
3,0.5714285714285714,0.0625,1.0,0.0,0.31028240405503255,0.06955124164880878,0.0,0.325,0.2913085004775549,0.3563025210084034,0.3317972350230415,0.15789473684210525,0.28493150684931506,0.3275632490013316,0.37499999999999994,0.16666666666666666,75.0256002,18.112179,1
4,0.7142857142857142,0.5,0.5,0.0,0.31028240405503255,0.0,0.0,0.325,0.2913085004775549,0.3563025210084034,0.3317972350230415,0.15789473684210525,0.28493150684931506,0.3275632490013316,0.37499999999999994,0.16666666666666666,75.0260206,18.1086573,1
5,0.7142857142857142,0.375,0.0,1.0,0.0,0.13257909996218328,0.6378605427915187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0271778,18.10857,1
6,0.7142857142857142,0.0,1.0,0.75,0.0,0.4067502836253624,0.3553403319672411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,75.0270021,18.1100114,1
7,0.7142857142857142,0.3125,1.0,0.0,0.31028240405503255,0.008099079793268626,0.0,0.325,0.2913085004775549,0.3563025210084034,0.3317972350230415,0.15789473684210525,0.28493150684931506,0.3275632490013316,0.37499999999999994,0.16666666666666666,75.0259161,18.1113307,1
8,0.7142857142857142,0.5625,1.0,0.0,0.0,0.6210450018908358,0.3553403319672411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,75.0256563,18.1115159,1
9,0.7142857142857142,1.0,0.5,0.0,0.0,0.13888188579352073,0.3553403319672411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,75.029371,18.1121275,1
10,0.5714285714285714,0.875,1.0,0.0,0.8377986965966691,1.0,0.5397481441627938,0.8464285714285714,1.0,0.8268907563025211,1.0,0.8070175438596491,0.5150684931506849,0.596537949400799,0.6157407407407407,0.5,75.0269477,18.1150122,1
11,0.0,0.75,1.0,0.0,0.9999999999999999,0.11997352829950839,0.699237432336473,1.0,0.5988538681948424,1.0,0.9216589861751152,0.6842105263157894,0.0,1.0,1.0,0.8333333333333333,75.0269762,18.1157975,0
12,0.5714285714285714,0.9375,1.0,0.0,0.8377986965966691,0.5611685364931299,0.5397481441627938,0.8464285714285714,1.0,0.8268907563025211,1.0,0.8070175438596491,0.5150684931506849,0.596537949400799,0.6157407407407407,0.5,75.0251131,18.1205606,0
13,0.5714285714285714,0.4375,1.0,0.0,0.31028240405503255,0.009674776251102985,0.0,0.325,0.2913085004775549,0.3563025210084034,0.3317972350230415,0.15789473684210525,0.28493150684931506,0.3275632490013316,0.37499999999999994,0.16666666666666666,75.0242172,18.1209749,1
14,0.5714285714285714,0.6875,1.0,0.25,0.31028240405503255,0.03488591957645279,0.0,0.325,0.2913085004775549,0.3563025210084034,0.3317972350230415,0.15789473684210525,0.28493150684931506,0.3275632490013316,0.37499999999999994,0.16666666666666666,75.0248402,18.1209854,1
15,0.14285714285714285,0.1875,1.0,0.0,0.31028240405503255,0.022280347913777896,0.0,0.325,0.2913085004775549,0.3563025210084034,0.3317972350230415,0.15789473684210525,0.28493150684931506,0.3275632490013316,0.37499999999999994,0.16666666666666666,75.0282797,18.1170198,1
16,0.5714285714285714,0.8125,1.0,0.0,0.31028240405503255,0.06639984873314006,0.0,0.325,0.2913085004775549,0.3563025210084034,0.3317972350230415,0.15789473684210525,0.28493150684931506,0.3275632490013316,0.37499999999999994,0.16666666666666666,75.0258983,18.1206808,1
17,0.2857142857142857,0.625,1.0,0.0,0.9999999999999999,0.4540211773603933,0.699237432336473,1.0,0.5988538681948424,1.0,0.9216589861751152,0.6842105263157894,0.0,1.0,1.0,0.8333333333333333,75.0257917,18.1210564,0
18,0.42857142857142855,0.125,1.0,0.0,0.6097031136857349,0.11367074246817094,1.0,0.5892857142857143,0.6332378223495702,0.6789915966386555,0.6697388632872504,0.40350877192982454,0.6684931506849315,0.5539280958721705,0.6342592592592593,0.6666666666666666,75.0298679,18.1200229,1
